,f1,f2,method,C,break_ties,probability,PZT_top1,DEA_top1,IPMC_top1,SMA_top1,SFA_top1,SCP_top1,EAP_top1,total_top1,PZT_top3,DEA_top3,IPMC_top3,SMA_top3,SFA_top3,SCP_top3,EAP_top3,total_top3
0,Bandwidth (Hz),Strain (%),decision_function,1000,True,True,1.0,0.4,0.14285714285714285,0.7142857142857143,0.0,0.0,0.3333333333333333,0.4107142857142857,1.0,0.9333333333333333,0.7142857142857143,0.8571428571428571,0.8333333333333334,1.0,0.6666666666666666,0.8392857142857143
1,Bandwidth (Hz),Strain (%),predict_proba,1000,True,True,0.6666666666666666,0.9333333333333333,0.0,0.7857142857142857,0.0,0.0,0.0,0.48214285714285715,0.6666666666666666,0.9333333333333333,0.42857142857142855,0.7857142857142857,0.6666666666666666,0.0,0.7777777777777778,0.7321428571428571
2,Bandwidth (Hz),Strain (%),decision_function,100,True,True,1.0,0.4666666666666667,0.0,0.7142857142857143,0.0,0.0,0.4444444444444444,0.42857142857142855,1.0,1.0,0.7142857142857143,0.8571428571428571,0.8333333333333334,1.0,0.6666666666666666,0.8571428571428571
3,Bandwidth (Hz),Strain (%),predict_proba,100,True,True,0.6666666666666666,0.9333333333333333,0.0,0.7857142857142857,0.0,0.0,0.1111111111111111,0.5,0.6666666666666666,0.9333333333333333,0.42857142857142855,0.7857142857142857,0.6666666666666666,0.0,0.7777777777777778,0.7321428571428571
4,Bandwidth (Hz),Strain (%),decision_function,10,True,True,0.6666666666666666,0.8,0.14285714285714285,0.7142857142857143,0.0,0.0,0.4444444444444444,0.5178571428571429,1.0,0.8666666666666667,0.7142857142857143,0.8571428571428571,0.6666666666666666,0.0,0.6666666666666666,0.7678571428571429
5,Bandwidth (Hz),Strain (%),predict_proba,10,True,True,0.6666666666666666,0.9333333333333333,0.0,0.7857142857142857,0.0,0.0,0.0,0.48214285714285715,0.6666666666666666,1.0,0.5714285714285714,0.8571428571428571,0.5,0.0,0.6666666666666666,0.75
6,Bandwidth (Hz),Strain (%),decision_function,1,True,True,0.6666666666666666,0.8666666666666667,0.0,0.8571428571428571,0.0,0.0,0.2222222222222222,0.5178571428571429,1.0,1.0,0.5714285714285714,0.8571428571428571,0.8333333333333334,0.0,0.5555555555555556,0.7857142857142857
7,Bandwidth (Hz),Strain (%),predict_proba,1,True,True,0.6666666666666666,0.8666666666666667,0.0,0.8571428571428571,0.0,0.0,0.0,0.48214285714285715,1.0,0.9333333333333333,0.7142857142857143,0.8571428571428571,0.3333333333333333,0.0,0.6666666666666666,0.75
8,Bandwidth (Hz),Stress (MPa),decision_function,1000,True,True,1.0,0.09090909090909091,0.0,0.75,0.0,0.5,0.25,0.38095238095238093,1.0,0.9090909090909091,0.3333333333333333,0.8333333333333334,0.0,1.0,0.75,0.7619047619047619
9,Bandwidth (Hz),Stress (MPa),predict_proba,1000,True,True,0.3333333333333333,0.9090909090909091,0.0,0.8333333333333334,0.0,0.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.8333333333333334,0.0,0.0,0.75,0.7380952380952381
10,Bandwidth (Hz),Stress (MPa),decision_function,100,True,True,1.0,0.18181818181818182,0.0,0.75,0.0,0.0,0.25,0.38095238095238093,1.0,0.9090909090909091,0.3333333333333333,0.8333333333333334,0.0,1.0,0.75,0.7619047619047619
11,Bandwidth (Hz),Stress (MPa),predict_proba,100,True,True,0.3333333333333333,0.9090909090909091,0.0,0.8333333333333334,0.0,0.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.8333333333333334,0.0,0.0,0.75,0.7380952380952381
12,Bandwidth (Hz),Stress (MPa),decision_function,10,True,True,1.0,0.6363636363636364,0.0,0.8333333333333334,0.0,0.5,0.125,0.5238095238095238,1.0,0.9090909090909091,0.3333333333333333,0.8333333333333334,0.0,1.0,0.75,0.7619047619047619
13,Bandwidth (Hz),Stress (MPa),predict_proba,10,True,True,0.6666666666666666,0.8181818181818182,0.0,0.8333333333333334,0.0,0.0,0.0,0.5,1.0,1.0,0.6666666666666666,0.9166666666666666,0.3333333333333333,0.0,0.75,0.8095238095238095
14,Bandwidth (Hz),Stress (MPa),decision_function,1,True,True,0.6666666666666666,0.9090909090909091,0.0,0.8333333333333334,0.0,0.0,0.0,0.5238095238095238,1.0,1.0,0.0,0.9166666666666666,0.0,0.0,0.75,0.7380952380952381
15,Bandwidth (Hz),Stress (MPa),predict_proba,1,True,True,0.3333333333333333,0.9090909090909091,0.0,0.8333333333333334,0.0,0.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.9166666666666666,0.3333333333333333,0.0,0.875,0.8095238095238095
16,Bandwidth (Hz),Efficiency (%),decision_function,1000,True,True,0.5,0.42857142857142855,0.0,0.6666666666666666,0.5,0.0,0.0,0.4482758620689655,0.75,0.7142857142857143,0.0,1.0,1.0,0.0,0.6666666666666666,0.7931034482758621
17,Bandwidth (Hz),Efficiency (%),predict_proba,1000,True,True,0.0,0.7142857142857143,0.0,1.0,0.25,0.0,0.0,0.5172413793103449,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.8620689655172413
18,Bandwidth (Hz),Efficiency (%),decision_function,100,True,True,0.75,0.42857142857142855,0.0,0.6666666666666666,0.5,0.0,0.0,0.4827586206896552,0.75,0.7142857142857143,0.0,1.0,1.0,0.0,0.6666666666666666,0.7931034482758621
19,Bandwidth (Hz),Efficiency (%),predict_proba,100,True,True,0.0,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.4827586206896552,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.8620689655172413
20,Bandwidth (Hz),Efficiency (%),decision_function,10,True,True,0.75,0.2857142857142857,0.0,0.8888888888888888,0.75,0.0,0.0,0.5517241379310345,0.75,0.7142857142857143,0.0,1.0,1.0,0.0,0.6666666666666666,0.7931034482758621
21,Bandwidth (Hz),Efficiency (%),predict_proba,10,True,True,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.5172413793103449,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.8620689655172413
22,Bandwidth (Hz),Efficiency (%),decision_function,1,True,True,0.0,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.4827586206896552,1.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.896551724137931
23,Bandwidth (Hz),Efficiency (%),predict_proba,1,True,True,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5517241379310345,1.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.896551724137931
24,Bandwidth (Hz),Power Density (W/g),decision_function,1000,True,True,1.0,0.2727272727272727,0.0,0.0,1.0,0.0,0.25,0.2962962962962963,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9629629629629629
25,Bandwidth (Hz),Power Density (W/g),predict_proba,1000,True,True,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.0,1.0,0.6666666666666666,0.75,0.0,0.0,0.75,0.7037037037037037
26,Bandwidth (Hz),Power Density (W/g),decision_function,100,True,True,1.0,0.45454545454545453,0.0,0.0,1.0,0.0,0.25,0.37037037037037035,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9629629629629629
27,Bandwidth (Hz),Power Density (W/g),predict_proba,100,True,True,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.0,1.0,0.6666666666666666,0.75,0.0,0.0,1.0,0.7407407407407407
28,Bandwidth (Hz),Power Density (W/g),decision_function,10,True,True,1.0,0.6363636363636364,0.0,0.5,1.0,0.0,0.5,0.5555555555555556,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9629629629629629
29,Bandwidth (Hz),Power Density (W/g),predict_proba,10,True,True,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.0,1.0,1.0,0.75,0.0,0.0,1.0,0.7777777777777778
30,Bandwidth (Hz),Power Density (W/g),decision_function,1,True,True,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,1.0,0.8888888888888888
31,Bandwidth (Hz),Power Density (W/g),predict_proba,1,True,True,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.0,1.0,0.3333333333333333,0.75,0.0,0.0,1.0,0.7037037037037037
32,Strain (%),Stress (MPa),decision_function,1000,True,True,0.9230769230769231,0.3684210526315789,0.5384615384615384,0.9626556016597511,0.4444444444444444,0.0,0.23333333333333334,0.8192419825072886,0.9615384615384616,0.8947368421052632,0.6153846153846154,0.991701244813278,0.4444444444444444,0.6,0.8333333333333334,0.9358600583090378
33,Strain (%),Stress (MPa),predict_proba,1000,True,True,0.7692307692307693,0.15789473684210525,0.07692307692307693,0.991701244813278,0.0,0.0,0.1,0.7755102040816326,0.9615384615384616,0.8947368421052632,0.9230769230769231,0.995850622406639,0.2222222222222222,0.0,1.0,0.9504373177842566
34,Strain (%),Stress (MPa),decision_function,100,True,True,0.9230769230769231,0.3684210526315789,0.5384615384615384,0.9294605809128631,0.1111111111111111,0.2,0.16666666666666666,0.7842565597667639,1.0,0.9473684210526315,0.6923076923076923,0.995850622406639,0.6666666666666666,0.4,0.8,0.9475218658892128
35,Strain (%),Stress (MPa),predict_proba,100,True,True,0.8461538461538461,0.10526315789473684,0.0,0.983402489626556,0.1111111111111111,0.0,0.16666666666666666,0.7784256559766763,0.9615384615384616,0.8947368421052632,0.7692307692307693,0.995850622406639,0.3333333333333333,0.0,0.9666666666666667,0.9446064139941691
36,Strain (%),Stress (MPa),decision_function,10,True,True,0.6538461538461539,0.5789473684210527,0.07692307692307693,0.9377593360995851,0.0,0.0,0.13333333333333333,0.7551020408163265,1.0,0.9473684210526315,0.8461538461538461,1.0,0.6666666666666666,0.4,0.8333333333333334,0.9591836734693877
37,Strain (%),Stress (MPa),predict_proba,10,True,True,0.6538461538461539,0.21052631578947367,0.0,0.9626556016597511,0.0,0.0,0.16666666666666666,0.7521865889212828,1.0,0.9473684210526315,0.8461538461538461,0.995850622406639,0.3333333333333333,0.0,1.0,0.956268221574344
38,Strain (%),Stress (MPa),decision_function,1,True,True,0.7307692307692307,0.47368421052631576,0.0,0.966804979253112,0.0,0.0,0.03333333333333333,0.7638483965014577,1.0,0.9473684210526315,0.6923076923076923,1.0,0.3333333333333333,0.0,0.9666666666666667,0.9504373177842566
39,Strain (%),Stress (MPa),predict_proba,1,True,True,0.6923076923076923,0.15789473684210525,0.0,0.9626556016597511,0.0,0.0,0.2,0.7551020408163265,1.0,0.9473684210526315,0.9230769230769231,0.991701244813278,0.4444444444444444,0.0,1.0,0.9591836734693877
40,Strain (%),Efficiency (%),decision_function,1000,True,True,0.9473684210526315,0.75,0.7142857142857143,0.7,0.0,1.0,0.08333333333333333,0.6395348837209303,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.9883720930232558
41,Strain (%),Efficiency (%),predict_proba,1000,True,True,1.0,0.9375,0.42857142857142855,0.85,0.0,1.0,0.08333333333333333,0.6976744186046512,1.0,0.9375,1.0,0.85,0.7142857142857143,1.0,0.8333333333333334,0.9069767441860465
42,Strain (%),Efficiency (%),decision_function,100,True,True,0.9473684210526315,0.875,0.7142857142857143,0.7,0.14285714285714285,1.0,0.16666666666666666,0.686046511627907,1.0,0.9375,1.0,0.95,0.8571428571428571,1.0,1.0,0.9651162790697675
43,Strain (%),Efficiency (%),predict_proba,100,True,True,1.0,0.9375,0.42857142857142855,0.85,0.0,1.0,0.16666666666666666,0.7093023255813954,1.0,0.9375,1.0,0.85,0.7142857142857143,1.0,0.8333333333333334,0.9069767441860465
44,Strain (%),Efficiency (%),decision_function,10,True,True,1.0,0.875,0.7142857142857143,0.75,0.42857142857142855,1.0,0.16666666666666666,0.7325581395348837,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9883720930232558
45,Strain (%),Efficiency (%),predict_proba,10,True,True,1.0,0.9375,0.5714285714285714,0.8,0.0,1.0,0.25,0.7209302325581395,1.0,0.9375,1.0,0.85,0.7142857142857143,1.0,0.9166666666666666,0.9186046511627907
46,Strain (%),Efficiency (%),decision_function,1,True,True,0.8947368421052632,0.9375,0.2857142857142857,0.85,0.0,0.8,0.08333333333333333,0.6511627906976745,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9883720930232558
